Gene_Name,homologous_superfamily,name
TIA1,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
ZNF71,['IPR036236'],['Zinc finger C2H2 superfamily']
PPP2R1A,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
PPP2R1B,['IPR011989'],['Armadillo-like helical']
CLDN19,,
SLC36A4,,
DSC2,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
LRIG3,"['IPR013783', 'IPR032675', 'IPR036179']","['Immunoglobulin-like fold', 'Leucine-rich repeat domain superfamily', 'Immunoglobulin-like domain superfamily']"
FNDC10,,
TTC38,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
HERC1,"['IPR009091', 'IPR013320', 'IPR043136']","['Regulator of chromosome condensation 1/beta-lactamase-inhibitor protein II', 'Concanavalin A-like lectin/glucanase domain superfamily', 'B30.2/SPRY domain superfamily']"
ZSCAN5B,['IPR036236'],['Zinc finger C2H2 superfamily']
TAB1,['IPR036457'],['PPM-type phosphatase domain superfamily']
PRSS12,"['IPR009003', 'IPR013806', 'IPR036772', 'IPR038178', 'IPR043504']","['Peptidase S1, PA clan', 'Kringle-like fold', 'SRCR-like domain superfamily', 'Kringle superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
MAPK11,['IPR011009'],['Protein kinase-like domain superfamily']
SLC1A5,['IPR036458'],['Sodium:dicarboxylate symporter superfamily']
CD83,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ECI1,['IPR029045'],['ClpP/crotonase-like domain superfamily']
ANKRD29,['IPR036770'],['Ankyrin repeat-containing domain superfamily']
GOT1,"['IPR015421', 'IPR015422', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase domain 1', 'Pyridoxal phosphate-dependent transferase']"
CACNG5,,
WLS,,
EIF2S1,"['IPR012340', 'IPR024054', 'IPR024055']","['Nucleic acid-binding, OB-fold', 'Translation initiation factor 2, alpha subunit, middle domain superfamily', 'Translation initiation factor 2, alpha subunit, C-terminal']"
PDE3A,['IPR036971'],"[""3'5'-cyclic nucleotide phosphodiesterase, catalytic domain superfamily""]"
CD226,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ELFN2,['IPR032675'],['Leucine-rich repeat domain superfamily']
NPY5R,,
ASIP,['IPR036836'],['Agouti domain superfamily']
GPR19,,
FKBP9,['IPR011992'],['EF-hand domain pair']
ZBTB17,"['IPR011333', 'IPR036236']","['SKP1/BTB/POZ domain superfamily', 'Zinc finger C2H2 superfamily']"
GALNT3,['IPR035992'],['Ricin B-like lectins']
SPP2,,
SNAPC4,['IPR009057'],['Homeobox-like domain superfamily']
GPR176,,
ZNF154,['IPR036236'],['Zinc finger C2H2 superfamily']
EFNB3,['IPR008972'],['Cupredoxin']
USP4,"['IPR035927', 'IPR038765']","['DUSP-like superfamily', 'Papain-like cysteine peptidase superfamily']"
ZNF678,['IPR036236'],['Zinc finger C2H2 superfamily']
LRRN1,"['IPR013783', 'IPR032675', 'IPR036116', 'IPR036179']","['Immunoglobulin-like fold', 'Leucine-rich repeat domain superfamily', 'Fibronectin type III superfamily', 'Immunoglobulin-like domain superfamily']"
RNF182,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
CLDN12,,
NUTM2E,,
CLDN8,,
CLDN6,,
CLDN15,,
IGSF1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MIR7-3HG,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
LILRA3,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ISLR2,"['IPR013783', 'IPR032675', 'IPR036179']","['Immunoglobulin-like fold', 'Leucine-rich repeat domain superfamily', 'Immunoglobulin-like domain superfamily']"
PRODH2,['IPR029041'],['FAD-linked oxidoreductase-like']
PLEKHB1,['IPR011993'],['PH-like domain superfamily']
IFNAR1,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
CHAF1A,,
MLF2,,
CHAF1B,['IPR036322'],['WD40-repeat-containing domain superfamily']
PIGH,,
DNLZ,,
SPEG,"['IPR013783', 'IPR036116', 'IPR036179']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily', 'Immunoglobulin-like domain superfamily']"
RAB30,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
ICAM3,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
AHSA1,"['IPR023393', 'IPR036338']","['START-like domain superfamily', 'Activator of Hsp90 ATPase, Aha1']"
SFTPB,['IPR011001'],['Saposin-like']
SLC34A2,,
SLC52A3,,
SCN2A,['IPR027359'],['Voltage-dependent channel domain superfamily']
GSC,['IPR009057'],['Homeobox-like domain superfamily']
LCOR,['IPR009057'],['Homeobox-like domain superfamily']
TYMP,"['IPR035902', 'IPR036320', 'IPR036566']","['Nucleoside phosphorylase/phosphoribosyltransferase catalytic domain superfamily', 'Glycosyl transferase family 3, N-terminal domain superfamily', 'Pyrimidine nucleoside phosphorylase-like, C-terminal domain superfamily']"
LZTFL1,,
CGB1,['IPR029034'],['Cystine-knot cytokine']
L3MBTL3,,
ZNF462,['IPR036236'],['Zinc finger C2H2 superfamily']
LRRIQ1,['IPR032675'],['Leucine-rich repeat domain superfamily']
CHAMP1,['IPR036236'],['Zinc finger C2H2 superfamily']
LINC00587,['IPR036236'],['Zinc finger C2H2 superfamily']
ERCC1,"['IPR010994', 'IPR011335']","['RuvA domain 2-like', 'Restriction endonuclease  type II-like']"
TTC39C,,
OPN1LW,,
ZNF561,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
OPN1MW,,
DNAJC22,,
ZNF808,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
THBS1,"['IPR013320', 'IPR028974', 'IPR036383']","['Concanavalin A-like lectin/glucanase domain superfamily', 'TSP type-3 repeat', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
C4BPA,['IPR035976'],['Sushi/SCR/CCP superfamily']
OR5B21,,
APOM,['IPR012674'],['Calycin']
RNASE1,['IPR036816'],['Ribonuclease A-like domain superfamily']
VTN,"['IPR036024', 'IPR036375']","['Somatomedin B-like domain superfamily', 'Hemopexin-like domain superfamily']"
MCM10,,
DOK3,,
LCA5L,,
MRPL40,,
NDUFAF7,"['IPR029063', 'IPR038375']","['S-adenosyl-L-methionine-dependent methyltransferase', 'Protein arginine methyltransferase NDUFAF7 superfamily']"
PPAN-P2RY11,"['IPR029063', 'IPR038375']","['S-adenosyl-L-methionine-dependent methyltransferase', 'Protein arginine methyltransferase NDUFAF7 superfamily']"
CT45A2,,
PSRC1,,
PPP1R15B,,
CD247,,
PPP1R26,,
SVOP,,
MMGT1,,
OXR1,['IPR036779'],['LysM domain superfamily']
ZNF333,['IPR036051'],['KRAB domain superfamily']
PTMS,,
PSMG1,,
DCLK2,"['IPR011009', 'IPR036572']","['Protein kinase-like domain superfamily', 'Doublecortin domain superfamily']"
FAAH2,['IPR036928'],['Amidase signature (AS) superfamily']
TGDS,,
EDN1,,
EQTN,,
CSF2RB,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
DSG3,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
C14orf132,"['IPR015919', 'IPR027397']","['Cadherin-like superfamily', 'Catenin binding domain superfamily']"
HSD17B7,['IPR036291'],['NAD(P)-binding domain superfamily']
PLCB1,"['IPR011992', 'IPR017946', 'IPR035892', 'IPR042531']","['EF-hand domain pair', 'PLC-like phosphodiesterase, TIM beta/alpha-barrel domain superfamily', 'C2 domain superfamily', 'Phospholipase C-beta, C-terminal domain superfamily']"
GJB6,['IPR038359'],"['Connexin, N-terminal domain superfamily']"
PARN,"['IPR012337', 'IPR012677', 'IPR035979', 'IPR036397', 'IPR036867']","['Ribonuclease H-like superfamily', 'Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily', 'Ribonuclease H superfamily', 'R3H domain superfamily']"
RPL17,['IPR036394'],['Ribosomal protein L22/L17 superfamily']
LHX9,['IPR009057'],['Homeobox-like domain superfamily']
ADAMTS2,"['IPR024079', 'IPR036383']","['Metallopeptidase, catalytic domain superfamily', 'Thrombospondin type-1 (TSP1) repeat superfamily']"
HHIPL1,"['IPR011041', 'IPR011042', 'IPR036772']","['Soluble quinoprotein glucose/sorbosone dehydrogenase', 'Six-bladed beta-propeller, TolB-like', 'SRCR-like domain superfamily']"
CROCC,,
AGA,['IPR029055'],"['Nucleophile aminohydrolases, N-terminal']"
FLG,['IPR011992'],['EF-hand domain pair']
NELFE,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
TOM1,"['IPR008942', 'IPR038425']","['ENTH/VHS', 'GAT domain superfamily']"
RASA1,"['IPR035892', 'IPR036028', 'IPR036860']","['C2 domain superfamily', 'SH3-like domain superfamily', 'SH2 domain superfamily']"
DCAF5,"['IPR015943', 'IPR036322']","['WD40/YVTN repeat-like-containing domain superfamily', 'WD40-repeat-containing domain superfamily']"
MRPS14,['IPR043140'],['Ribosomal protein S14/S29']
CTH,"['IPR015421', 'IPR015422', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase domain 1', 'Pyridoxal phosphate-dependent transferase']"
TCP11L2,,
MREG,,
,,
ZCCHC9,,
MAML3,,
CBR4,['IPR036291'],['NAD(P)-binding domain superfamily']
GNAS,,
FMNL1,"['IPR016024', 'IPR042201']","['Armadillo-type fold', 'Formin, FH2 domain superfamily']"
MATN4,"['IPR009030', 'IPR036337', 'IPR036465']","['Growth factor receptor cysteine-rich domain superfamily', 'Matrilin, coiled-coil domain superfamily', 'von Willebrand factor A-like domain superfamily']"
CASS4,"['IPR036028', 'IPR038319']","['SH3-like domain superfamily', 'CAS, serine rich four helix bundle domain superfamily']"
MEPE,,
CYFIP1,,
AMY2B,"['IPR013780', 'IPR017853']","['Glycosyl hydrolase, all-beta', 'Glycoside hydrolase superfamily']"
CRTAC1,,
BCAR1,"['IPR036028', 'IPR038319']","['SH3-like domain superfamily', 'CAS, serine rich four helix bundle domain superfamily']"
LARGE1,"['IPR036028', 'IPR038319']","['SH3-like domain superfamily', 'CAS, serine rich four helix bundle domain superfamily']"
ELMO2,['IPR011989'],['Armadillo-like helical']
GJA1,"['IPR034634', 'IPR038359']","['Connexin, C-terminal', 'Connexin, N-terminal domain superfamily']"
ITGA2,"['IPR028994', 'IPR032695', 'IPR036465']","['Integrin alpha, N-terminal', 'Integrin domain superfamily', 'von Willebrand factor A-like domain superfamily']"
AMELX,,
PDC,"['IPR023196', 'IPR036249']","['Phosducin, N-terminal domain superfamily', 'Thioredoxin-like superfamily']"
PI3,['IPR036645'],['Elafin-like superfamily']
LAG3,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
CPA6,['IPR036990'],"['Metallocarboxypeptidase-like, propeptide']"
ZNF276,,
ARHGEF39,['IPR011993'],['PH-like domain superfamily']
TMX3,['IPR036249'],['Thioredoxin-like superfamily']
JPH4,,
RGPD3,"['IPR011990', 'IPR011993']","['Tetratricopeptide-like helical domain superfamily', 'PH-like domain superfamily']"
AFAP1,['IPR011993'],['PH-like domain superfamily']
AMELY,,
PRSS55,"['IPR009003', 'IPR043504']","['Peptidase S1, PA clan', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
NSA2,,
H6PD,"['IPR036291', 'IPR037171']","['NAD(P)-binding domain superfamily', 'NagB/RpiA transferase-like']"
CTDNEP1,['IPR023214'],['HAD superfamily']
ABCA1,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
RGS21,"['IPR024066', 'IPR036305']","['RGS, subdomain 1/3', 'RGS domain superfamily']"
SGPL1,"['IPR015421', 'IPR015422', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase domain 1', 'Pyridoxal phosphate-dependent transferase']"
CLDN7,,
SIX6,,
SCRT2,['IPR036236'],['Zinc finger C2H2 superfamily']
C8orf76,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
RITA1,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
IL27RA,"['IPR013783', 'IPR036116']","['Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
SYNGR4,,
ZNF354A,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
BORA,,
DPM1,,
MS4A4A,,
USO1,['IPR016024'],['Armadillo-type fold']
HPGDS,"['IPR036249', 'IPR036282']","['Thioredoxin-like superfamily', 'Glutathione S-transferase, C-terminal domain superfamily']"
CAT,"['IPR020835', 'IPR037060']","['Catalase superfamily', 'Catalase core domain superfamily']"
KIR3DL2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ACBD5,"['IPR014352', 'IPR035984']","['FERM/acyl-CoA-binding protein superfamily', 'Acyl-CoA binding protein superfamily']"
KIR2DS2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
KIR2DS4,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
SPDYE3,,
SLC6A4,['IPR037272'],['Sodium:neurotransmitter symporter superfamily']
GABRA5,"['IPR036719', 'IPR036734']","['Neurotransmitter-gated ion-channel transmembrane domain superfamily', 'Neurotransmitter-gated ion-channel ligand-binding domain superfamily']"
RAF1,"['IPR011009', 'IPR029071']","['Protein kinase-like domain superfamily', 'Ubiquitin-like domain superfamily']"
SEC24B,"['IPR029006', 'IPR036174', 'IPR036175', 'IPR036180', 'IPR036465']","['ADF-H/Gelsolin-like domain superfamily', 'Zinc finger, Sec23/Sec24-type superfamily', 'Sec23/Sec24 helical domain superfamily', 'Gelsolin-like domain superfamily', 'von Willebrand factor A-like domain superfamily']"
CLMN,['IPR036872'],['CH domain superfamily']
ZFYVE19,"['IPR011011', 'IPR013083']","['Zinc finger, FYVE/PHD-type', 'Zinc finger, RING/FYVE/PHD-type']"
CD70,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
ATP13A2,"['IPR023214', 'IPR023298', 'IPR023299']","['HAD superfamily', 'P-type ATPase, transmembrane domain superfamily', 'P-type ATPase, cytoplasmic domain N']"
SLC6A6,['IPR037272'],['Sodium:neurotransmitter symporter superfamily']
SEC24A,"['IPR029006', 'IPR036175', 'IPR036180', 'IPR036465']","['ADF-H/Gelsolin-like domain superfamily', 'Sec23/Sec24 helical domain superfamily', 'Gelsolin-like domain superfamily', 'von Willebrand factor A-like domain superfamily']"
TNFSF8,['IPR008983'],['Tumour necrosis factor-like domain superfamily']
DCHS1,['IPR015919'],['Cadherin-like superfamily']
SLC19A2,['IPR036259'],['MFS transporter superfamily']
NLRC4,"['IPR011029', 'IPR027417']","['Death-like domain superfamily', 'P-loop containing nucleoside triphosphate hydrolase']"
CLDN9,,
CDHR1,['IPR015919'],['Cadherin-like superfamily']
RNF170,['IPR013083'],"['Zinc finger, RING/FYVE/PHD-type']"
RAB42,,
TIMP2,"['IPR008993', 'IPR027465']","['Tissue inhibitor of metalloproteinases-like, OB-fold', 'Proteinase inhibitor I35b (TIMP), C-terminal']"
KIR2DL1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
ZFP91,['IPR036236'],['Zinc finger C2H2 superfamily']
KIR2DL2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
FMO6P,['IPR036188'],['FAD/NAD(P)-binding domain superfamily']
KIR2DL3,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
BTF3L4,['IPR038187'],['NAC A/B domain superfamily']
KIR3DL1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
DNTT,"['IPR027421', 'IPR036420', 'IPR037160', 'IPR043519']","['DNA polymerase lambda lyase domain superfamily', 'BRCT domain superfamily', 'DNA polymerase, thumb domain superfamily', 'Nucleotidyltransferase superfamily']"
PLA2G1B,['IPR036444'],['Phospholipase A2 domain superfamily']
RPLP1,['IPR038716'],"['Ribosomal protein P1/P2, N-terminal domain']"
RPLP2,['IPR038716'],"['Ribosomal protein P1/P2, N-terminal domain']"
RPLP0,"['IPR043141', 'IPR043164']","['Ribosomal protein L10-like domain superfamily', '50S ribosomal protein L10, insertion domain superfamily']"
VNN2,['IPR036526'],['Carbon-nitrogen hydrolase superfamily']
CDC25A,['IPR036873'],['Rhodanese-like domain superfamily']
CDC25B,['IPR036873'],['Rhodanese-like domain superfamily']
RPL9,['IPR036789'],"['Ribosomal protein L6, alpha-beta domain superfamily']"
CDC25C,['IPR036873'],['Rhodanese-like domain superfamily']
FAM183A,,
SLC5A2,['IPR038377'],['Sodium/glucose symporter superfamily']
FEM1C,['IPR011990'],['Tetratricopeptide-like helical domain superfamily']
ADGRL2,"['IPR036445', 'IPR043159']","['GPCR family 2, extracellular hormone receptor domain superfamily', 'D-galactoside/L-rhamnose binding SUEL lectin domain superfamily']"
FAR2,['IPR036291'],['NAD(P)-binding domain superfamily']
MYO15B,"['IPR027417', 'IPR038185']","['P-loop containing nucleoside triphosphate hydrolase', 'MyTH4 domain superfamily']"
ZSWIM7,,
SNX2,"['IPR027267', 'IPR036871']","['AH/BAR domain superfamily', 'PX domain superfamily']"
VNN1,['IPR036526'],['Carbon-nitrogen hydrolase superfamily']
SLAMF7,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MIP,['IPR023271'],['Aquaporin-like']
RIC8A,['IPR016024'],['Armadillo-type fold']
LUC7L,['IPR016024'],['Armadillo-type fold']
ALG1L,,
SMYD5,,
HCN1,"['IPR014710', 'IPR018490']","['RmlC-like jelly roll fold', 'Cyclic nucleotide-binding-like']"
CRACR2B,,
C2,"['IPR009003', 'IPR035976', 'IPR036465', 'IPR043504']","['Peptidase S1, PA clan', 'Sushi/SCR/CCP superfamily', 'von Willebrand factor A-like domain superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
SHISAL2B,"['IPR009003', 'IPR035976', 'IPR036465', 'IPR043504']","['Peptidase S1, PA clan', 'Sushi/SCR/CCP superfamily', 'von Willebrand factor A-like domain superfamily', 'Peptidase S1, PA clan, chymotrypsin-like fold']"
PTRHD1,['IPR023476'],['Peptidyl-tRNA hydrolase II domain superfamily']
SHISA7,,
EPHA8,"['IPR008979', 'IPR011009', 'IPR013761', 'IPR013783', 'IPR036116']","['Galactose-binding-like domain superfamily', 'Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily', 'Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
EPHB2,"['IPR008979', 'IPR009030', 'IPR011009', 'IPR013761', 'IPR013783', 'IPR036116']","['Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily', 'Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
FAM223B,"['IPR008979', 'IPR009030', 'IPR011009', 'IPR013761', 'IPR013783', 'IPR036116']","['Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily', 'Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
EPHA3,"['IPR008979', 'IPR009030', 'IPR011009', 'IPR013761', 'IPR013783', 'IPR036116']","['Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily', 'Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
DISP2,,
HIVEP2,,
SLC22A31,['IPR036259'],['MFS transporter superfamily']
ESM1,['IPR009030'],['Growth factor receptor cysteine-rich domain superfamily']
AKIP1,['IPR009030'],['Growth factor receptor cysteine-rich domain superfamily']
DRICH1,,
SEMA4B,"['IPR015943', 'IPR036352']","['WD40/YVTN repeat-like-containing domain superfamily', 'Sema domain superfamily']"
C11orf16,"['IPR015943', 'IPR036352']","['WD40/YVTN repeat-like-containing domain superfamily', 'Sema domain superfamily']"
ASCL3,['IPR036638'],['Helix-loop-helix DNA-binding domain superfamily']
TMEM9B,,
CYTIP,,
NRIP3,['IPR021109'],['Aspartic peptidase domain superfamily']
SCUBE2,"['IPR009030', 'IPR035914']","['Growth factor receptor cysteine-rich domain superfamily', 'Spermadhesin, CUB domain superfamily']"
GALR3,,
SPINK5,['IPR036058'],['Kazal domain superfamily']
GPR108,,
BCE1,,
RPS10P5,,
PGAM1,['IPR029033'],['Histidine phosphatase superfamily']
NEURL4,['IPR043136'],['B30.2/SPRY domain superfamily']
GAD1,"['IPR015421', 'IPR015424']","['Pyridoxal phosphate-dependent transferase, major domain', 'Pyridoxal phosphate-dependent transferase']"
NPR3,['IPR028082'],['Periplasmic binding protein-like I']
CCDC136,['IPR028082'],['Periplasmic binding protein-like I']
TTC37,['IPR028082'],['Periplasmic binding protein-like I']
MPND,,
ICAM1,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
AFAP1L2,['IPR011993'],['PH-like domain superfamily']
AQP7P3,['IPR023271'],['Aquaporin-like']
EPHA2,"['IPR008979', 'IPR009030', 'IPR011009', 'IPR013761', 'IPR013783', 'IPR036116']","['Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Protein kinase-like domain superfamily', 'Sterile alpha motif/pointed domain superfamily', 'Immunoglobulin-like fold', 'Fibronectin type III superfamily']"
ANKRD45,"['IPR029048', 'IPR036770']","['Heat shock protein 70kD, C-terminal domain superfamily', 'Ankyrin repeat-containing domain superfamily']"
HMGCR,"['IPR009023', 'IPR009029', 'IPR023074', 'IPR023282']","['Hydroxymethylglutaryl-CoA reductase, class I/II, NAD/NADP-binding domain superfamily', 'Hydroxymethylglutaryl-CoA reductase, class I/II, substrate-binding domain superfamily', 'Hydroxymethylglutaryl-CoA reductase, class I/II, catalytic domain superfamily', 'Hydroxymethylglutaryl-CoA reductase, N-terminal']"
CEP170,['IPR008984'],['SMAD/FHA domain superfamily']
GORAB,,
HSP90AA1,"['IPR020568', 'IPR036890', 'IPR037196']","['Ribosomal protein S5 domain 2-type fold', 'Histidine kinase/HSP90-like ATPase superfamily', 'HSP90, C-terminal domain']"
MAP6,"['IPR020568', 'IPR036890', 'IPR037196']","['Ribosomal protein S5 domain 2-type fold', 'Histidine kinase/HSP90-like ATPase superfamily', 'HSP90, C-terminal domain']"
GALT,['IPR036265'],['HIT-like superfamily']
LELP1,,
PRR9,,
CDC14B,['IPR029021'],['Protein-tyrosine phosphatase-like']
ICMT,,
MST1R,"['IPR011009', 'IPR013783', 'IPR014756', 'IPR015943', 'IPR036352']","['Protein kinase-like domain superfamily', 'Immunoglobulin-like fold', 'Immunoglobulin E-set', 'WD40/YVTN repeat-like-containing domain superfamily', 'Sema domain superfamily']"
ATRAID,,
RRAGA,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
SLC24A1,,
FASTK,,
SEC16B,,
YWHAH,['IPR036815'],['14-3-3 domain superfamily']
HNRNPC,"['IPR012677', 'IPR035979']","['Nucleotide-binding alpha-beta plait domain superfamily', 'RNA-binding domain superfamily']"
LAIR2,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
UMOD,['IPR009030'],['Growth factor receptor cysteine-rich domain superfamily']
KLHL36,"['IPR011333', 'IPR015915']","['SKP1/BTB/POZ domain superfamily', 'Kelch-type beta propeller']"
KIF2B,"['IPR027417', 'IPR036961']","['P-loop containing nucleoside triphosphate hydrolase', 'Kinesin motor domain superfamily']"
ZNF618,"['IPR012337', 'IPR036236', 'IPR037220']","['Ribonuclease H-like superfamily', 'Zinc finger C2H2 superfamily', 'Zinc finger BED domain']"
EIF1B,['IPR036877'],['SUI1 domain superfamily']
UQCRH,['IPR036811'],['Ubiquinol-cytochrome C reductase hinge domain superfamily']
TSTD2,,
TMEM205,,
PLA2G6,['IPR016035'],['Acyl transferase/acyl hydrolase/lysophospholipase']
CD164,,
FCRLA,"['IPR013783', 'IPR036179']","['Immunoglobulin-like fold', 'Immunoglobulin-like domain superfamily']"
MAGEC1,"['IPR041898', 'IPR041899']","['MAGE homology domain, winged helix WH1 motif', 'MAGE homology domain, winged helix WH2 motif']"
ERCC6L2,"['IPR027417', 'IPR038718']","['P-loop containing nucleoside triphosphate hydrolase', 'SNF2-like, N-terminal domain superfamily']"
TIMMDC1,"['IPR027417', 'IPR038718']","['P-loop containing nucleoside triphosphate hydrolase', 'SNF2-like, N-terminal domain superfamily']"
BEND5,,
PCSK4,"['IPR008979', 'IPR009030', 'IPR036852', 'IPR038466']","['Galactose-binding-like domain superfamily', 'Growth factor receptor cysteine-rich domain superfamily', 'Peptidase S8/S53 domain superfamily', 'Peptidase S8, pro-domain superfamily']"
AKR1E2,['IPR036812'],['NADP-dependent oxidoreductase domain superfamily']
KDELC1,"['IPR013783', 'IPR014756']","['Immunoglobulin-like fold', 'Immunoglobulin E-set']"
SLC44A3,,
MT-RNR1,,
C10orf126,,
EAF1,,
ZNF658,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
ABCC9,"['IPR027417', 'IPR036640']","['P-loop containing nucleoside triphosphate hydrolase', 'ABC transporter type 1, transmembrane domain superfamily']"
TPST2,['IPR027417'],['P-loop containing nucleoside triphosphate hydrolase']
MS4A18,,
C11orf91,,
ANKRD20A1,,
UGDH,"['IPR008927', 'IPR036220', 'IPR036291']","['6-phosphogluconate dehydrogenase-like, C-terminal domain superfamily', 'UDP-glucose/GDP-mannose dehydrogenase, C-terminal domain superfamily', 'NAD(P)-binding domain superfamily']"
BSX,,
,,
ZNF479,"['IPR036051', 'IPR036236']","['KRAB domain superfamily', 'Zinc finger C2H2 superfamily']"
IGFL1,,
VPS39,,
PIP4P2,,
TMEM151A,,
SPEM1,,
LOXL4,['IPR036772'],['SRCR-like domain superfamily']
MPP4,"['IPR027417', 'IPR036028', 'IPR036892']","['P-loop containing nucleoside triphosphate hydrolase', 'SH3-like domain superfamily', 'L27 domain superfamily']"
CCDC24,,
PRAMEF5,['IPR032675'],['Leucine-rich repeat domain superfamily']
CTNND1,"['IPR011989', 'IPR016024']","['Armadillo-like helical', 'Armadillo-type fold']"
LPXN,,
SPESP1,,
HIC2,['IPR011333'],['SKP1/BTB/POZ domain superfamily']
COG3,,
CDK5RAP3,,
DNAH8,"['IPR042222', 'IPR042228', 'IPR043160']","['Dynein heavy chain, domain 2, N-terminal', 'Dynein heavy chain, domain 2, C-terminal', 'Dynein heavy chain, C-terminal domain, barrel region']"
PGAP1,['IPR029058'],['Alpha/Beta hydrolase fold']
PAQR4,,
LAMB1,['IPR038684'],"['Laminin, N-terminal domain superfamily']"
MARVELD2,,
YES1,"['IPR011009', 'IPR036028', 'IPR036860']","['Protein kinase-like domain superfamily', 'SH3-like domain superfamily', 'SH2 domain superfamily']"
